Zootecnia-Ufrpe-Ufpb-Ufc,
Ortopedia E Traumatologia,
Ortodontia (Piracicaba),
Ortodontia,
Oncologia,
Oftalmologia (Sp-Capital),
Oftalmologia (Rib.Preto),
Oftalmologia, Engenharia Ambiental, Clinica Odontológica,
Oftalmologia,
Odontopediatria (Rib. Preto),
Odontopediatria E Ortodontia (Profissionalizante),
Odontologia-Ufpb/Ufba,
Odontologia Social,
Odontologia (Reabilitacao Oral) (Rib.Preto),
Odontologia (Reabilitacao Oral) (Bauru),
Odontologia (Radiologia Odontológica) (S.J.Campos),
Odontologia (Radiologia Buco-Maxilo-Facial),
Odontologia (Radiologia Buco Maxilo Facial),
Odontologia (Prótese Parcial Fixa) (S.J.Campos),
Odontologia (Prótese Dentaria),
Odontologia (Prótese Buco-Maxilo Facial) (S.J.Campos),
Odontologia Preventiva E Social,
Odontologia (Piracicaba),
Odontologia (Periodontia) (Sp-Capital),
Odontologia (Periodontia) (Bauru),
Odontologia (Periodontia) (Araraquara),
Odontologia(Periodontia),
Odontologia (Periodontia),
Odontologia (Patologia Bucal) (Sp-Capital),
Odontologia (Patologia Bucal) (Bauru),
Odontologia (Patologia Bucal),
Odontologia (Ortodontia) (Sp-Capital),
Odontologia (Ortodontia) (Bauru),
Odontologia (Ortodontia) (Araraquara),
Odontologia (Ortodontia),
Odontologia (Odontopediatria) (Sp-Capital),
Odontologia (Odontopediatria) (Bauru),
Odontologia (Odontopediatria) (Araraquara),
Odontologia (Odontopediatria) (Aracatuba),
Odontologia (Odontopediatria),
Odontologia (Odontologia Social),
Odontologia (Odontologia Restauradora) (S.J.Campos),
Odontologia (Odontologia Restauradora) (Rib.Preto),
Odontologia (Odontologia Preventiva E Social) (Aracatuba),
Odontologia, Neurologia, Odontologia, Engenharia Civil,
Odontologia (Materiais Dentarios),
Odontologia Legal E Deontologia (Piracicaba),
Odontologia (Implantologia),
Odontologia (Fisiologia E Biofisica Do Sist. Estomatognatico) (Piracicaba),
Odontologia (Estomatologia Clinica),
Odontologia (Estomatologia) (Bauru),
Odontologia (Endodontia) (Sp-Capital),
Odontologia (Endodontia) (Bauru),
Odontologia (Endodontia) (Araraquara),
Odontologia (Endodontia),
 Odontologia Em Saude Coletiva,
Odontologia (Diagnóstico Bucal) (Sp-Capital),
Odontologia (Diagnóstico Bucal),
Odontologia (Deontologia E Odontologia Legal),
Odontologia (Dentistica) (Sp-Capital),
Odontologia (Dentistica Restauradora) (Araraquara),
Odontologia (Dentistica E Endodontia),
Odontologia (Dentistica) (Bauru),
Odontologia (Clinica Integrada),
Odontologia (Cirurgia E Traumatologia Buco-Maxilo Facial) (Aracatuba),
Odontologia (Cirurgia E Traumatologia Buco-Maxilo Facial),
Odontologia (Cirurgia E Traumatologia Buco-Maxilo Facial,
Odontologia, Ciencias Da Nutricao - J.P., Geografia,
Odontologia (Biopatologia Bucal),
Odontologia,
Oceanografia Quimica E Geologica,
Oceanografia (Oceanografia Fisica),
Oceanografia (Oceanografia Biológica),
Oceanografia Fisica, Quimica E Geológica,
Oceanografia Biológica,
Oceanografia,
Nutricao Humana Aplicada,
Nutricao Humana,
Nutricao Animal,
Nutricao,
Neuro-Psiquiatria,
Neurologia,
Neuroimunologia,
Neurociencias,
Nefrologia,
Musica,
Multimeios,
Morfologia,
Modelagem Matematica Em Financas,
Modelagem Matematica,
Modelagem Computacional,
Microbiologia Veterinaria,
Microbiologia, Parasitologia E Patologia, Comunicacao,
Microbiologia Medica, Tecnologia Em Saude,
Microbiologia (Jaboticabal),
Microbiologia E Imunologia,
Microbiologia Agricola E Do Ambiente,
Microbiologia Agricola,
Microbiologia,
Metrologia Para A Qualidade Industrial,
Metrologia Cientifica E Industrial,
Metodos Numericos Em Engenharia,
Meteorologia,
Mestrado Profissionalizante Em Engenharia De Reatores(Profissionalizante),
Mestrado Em Matematica E Estatistica, Ciencias Do Ambiente,
Mestrado Em Letras, Clinica Medica,
Mestrado Em Enfermagem, Agronomia,
Mestrado Em Educacao,
Mestrado Em Direito Ambiental, Odontologia,
Mestrado Em Direito,
Mestrado Em Cirurgia,
Mestrado Em Administracao Estrategica,
Memória Social E Documento,
Meio Ambiente E Desenvolvimento Regional,
Meio Ambiente E Desenvolvimento,
Medicina Veterinaria Tropical,
Medicina Veterinaria (Sanidade E Producao Animal),
Medicina Veterinaria (Reproducao Animal),
Medicina Veterinaria (Patologia Veterinaria),
Medicina Veterinaria (Patologia Animal) (Jaboticabal),
Medicina Veterinaria (Medicina Veterinaria Preventiva) (Jaboticabal),
Medicina Veterinaria (Jaboticabal),
Medicina Veterinaria (Hig. Veter. Proc. Tecn. Prod. De Origem Animal),
Medicina Veterinaria Em Pequenos Ruminantes,
Medicina Veterinaria (Cir. E Clinica Veterinaria),
Medicina Veterinaria (Botucatu),
Medicina Veterinaria,
Medicina (Urologia),
Medicina Tropical E Infectologia,
Medicina Tropical,
Medicina (Tocoginecologia) (Rib.Preto),
Medicina (Tocoginecologia),
Medicina (Saude Mental) (Rib.Preto),
Medicina (Reumatologia),
Medicina (Radiologia Clinica),
Medicina (Radiologia),
Medicina (Pneumologia),
Medicina (Pediatria) (Sp-Capital),
Medicina (Pediatria) (Rib.Preto),
Medicina (Pediatria),
Medicina (Otorrinolaringologia) (Rib.Preto),
Medicina (Otorrinolaringologia),
Medicina (Ortopedia E Traumatologia) (Rib.Preto),
Medicina (Ortopedia E Traumatologia),
Medicina (Ortopedia E Traumatologia ),
Medicina (Oftalmologia),
Medicina (Obstetricia E Ginecologia),
Medicina (Obstetricia),
Medicina (Neurologia) (Rib.Preto),
Medicina (Neurologia),
Medicina (Neurocirurgia),
Medicina (Nefrologia),
Medicina (Medicina Tropical),
Medicina (Medicina Preventiva) (Sp-Capital),
Medicina Interna E Terapeutica,
Medicina Interna,
Medicina (Hepatologia),
Medicina (Hematologia),
Medicina (Ginecologia),
Medicina (Gastroenterologia Cirurgica),
Medicina (Gastroenterologia),
Medicina (Endocrinologia Clinica),
Medicina (Endocrinologia),
Medicina (Emergencias Clinicas),
Medicina E Ciencias Da Saude,
Medicina (Doencas Infecciosas E Parasitarias),
Medicina De Urgencia,
Medicina (Dermatologia Clinica E Cirurgica),
Medicina (Dermatologia),
Medicina (Clinica Obstetrica),
Medicina (Clinica Medica) (Rib. Preto),
Medicina (Clinica Medica),
Medicina (Clinica Cirurgica) (Sp-Capital),
Medicina (Clinica Cirurgica) (Rib. Preto),
Medicina (Clinica Cirurgica),
Medicina (Cirurgia Toracica E Cardiovascular),
Medicina (Cirurgia Toracica),
Medicina (Cirurgia Geral),
Medicina (Cirurgia Gastroenterológica),
Medicina (Cirurgia Do Aparelho Digestivo),
Medicina (Cirurgia De Cabeca E Pescoco),
Medicina (Cirurgia Cardiovascular),
Medicina Cirurgia,
Medicina (Cirurgia),
Medicina (Ciencia Da Saude),
Medicina (Cardiologia),
Medicina (Anatomia Patológica),
Medicina,
 Medicina,
Mecatrônica,
Materiais Para Engenharia,
Materiais Dentarios (Piracicaba),
Matematica (Sp-Capital),
Matematica (S.Carlos),
Matematica E Computacao Cientifica,
Matematica Computacional,
Matematica Aplicada (Sp-Capital),
Matematica Aplicada (Sjrp),
Matematica Aplicada,
Matematica,
Maquinas Agricolas (Esalq),
Manejo De Solo E agua (Areia),
Lógica E Filosofia Da Ciencia,
Literatura E Diversidade Cultural,
Literatura E Cultura Russa,
Literatura E Critica Literaria,
Literatura Brasileira,
Literatura,
Lingüistica E Letras,
Lingüistica Aplicada Ao Ensino De Linguas,
Lingüistica Aplicada,
Linguistica Aplicada,
Lingüistica,
Lingua Portuguesa,
Lingua, Literatura E Cultura Arabe,
Lingua Hebraica, Literatura E Cultura Judaica,
Ligüistica Aplicada,
Letras, Turismo E Meio Ambiente, Ciencias Da Saude,
Letras (Teoria Literaria E Literatura Comparada),
Letras (Sjrp),
Letras Neolatinas,
Letras (Literatura Portuguesa),
Letras (Lingüistica E Teoria Literaria),
Letras (Lingüistica E Lingua Portuguesa) (Araraquara),
Letras (Lingua Literatura E Cultura Japonesa),
Letras -Linguagem E Sociedade,
Letras (Lingua Espanhola E Literaturas Espanhola E Hispano-Americana),
Letras (Lingua E Literatura Italiana),
Letras (Lingua E Literatura Francesa),
Letras (Lingua E Literatura Alema),
Letras (Letras Vernaculas),
Letras (Letras Classicas),
Letras (Ingles E Literatura Correspondente),
Letras (História Da Literatura),
Letras (Estudos Literarios) (Araraquara),
Letras (Est. Comp. De Liter. De Lingua Portuguesa),
Letras E Lingüistica,
Letras E Cultura Regional,
Letras (Ciencia Da Literatura),
Letras (Assis),
Letras,
Lasers Em Odontologia,
Irrigacao E Drenagem (Esalq),
Interunidades Em Energia,
Interdisciplinar De Lingüistica Aplicada,
Integracao Latino-Americana,
Integracao Da America Latina,
Informatica Na Educacao,
Informatica Em Saude,
Informatica Aplicada,
Informatica,
Imunologia (Sp-Capital),
Imunologia E Parasitologia Aplicadas,
Imunologia Basica E Aplicada (Rib. Preto),
Imunologia,
Hospitalidade,
Historia- Uem/Uel,
História Social Da Cultura,
História Social,
História (Franca),
História Econômica,
História Das Ciencias,
Historia Da Ciencia,
História (Assis),
História,
Historia,
Habitacao: Planejamento E Tecnologia,
Ginecologia E Obstetricia (Botucatu),
Gestao Publica Para O Desenvolvimento Do Nordeste,
Gestao Empresarial,
Gestao Do Patrimônio Cultural,
Gestao Do Conhecimento E Tecnologia Da Informacao,
Gestao De Politicas Publicas,
Gestao De Negócios, Comunicacao,
Gerontologia Biomedica,
Gerontologia,
Gerenciamento E Tecnologia Ambiental No Processo Produtivo,
Geotecnia (S.Carlos),
Geotecnia,
Geoquimica E Meio Ambiente,
Geologia E Geoquimica,
Geologia E Geofisica Marinha,
Geologia,
Geografia (Rio Claro),
Geografia (P. Prudente),
Geografia, Meio Ambiente E Desenvolvimento,
Geografia (Geografia Humana),
Geografia (Geografia Fisica),
Geografia,
Geofisica Espacial,
Geofisica,
Geodinamica E Geofisica,
Geociencias (Recursos Minerais E Hidrogeologia),
Geociencias (Mineralogia E Petrologia),
Geociencias (Geoquimica E Geotectônica),
Geociencias (Geoquimica),
Geociencias (Geologia Sedimentar),
Geociencias (Geologia Regional) (Rio Claro),
Geociencias (Geociencias E Meio Ambiente) (Rio Claro),
Geociencias,
Genetica E Melhoramento,
Genetica E Evolucao,
Genetica E Bioquimica,
Genetica E Biologia Molecular,
Genetica, Conservacao E Biologia Evolutiva,
Genetica,
Gastroenterologia Clinica,
Gastroenterologia,
Fonoaudiologia,
Fitotecnia (Producao Vegetal),
Fitotecnia (Esalq),
Fitotecnia,
Fitossanidade,
Fitopatologia,
Fisioterapia,
Fisiopatologia Medica,
Fisiopatologia Em Clinica Medica (Botucatu),
Fisiopatologia Clinica E Experimental,
Fisiologia Vegetal,
Fisiologia (Rib. Preto),
Fisiologia Do Exercicio,
Fisiologia Bioquimica De Plantas (Esalq),
Fisico-Quimica (S. Carlos),
Fisico-Quimica,
Fisica - Uem-Uel,
Fisica (Sp-Capital),
Fisica (S.Carlos),
Fisica-Rc,
Fisica Quimica E Neurociencias,
Fisica (Ift),
Fisica (Guararatingueta),
Fisica E Meio Ambiente,
Fisica Da Materia Condensada,
Fisica Aplicada À Medicina E Biologia (Rib. Preto),
Fisica Aplicada,
Fisica,
Filosofia (Marilia),
Filosofia, Educacao Para A Ciencia E A Matematica,
Filosofia,
Filologia E Lingua Portuguesa,
Farmacos E Medicamentos (Sp-Capital),
Farmacologia,
Farmacia (Analises Clinicas),
Farmacia,
Extensao Rural,
Evolucao Crustal E Recursos Naturais,
Estudos Populacionais E Pesquisas Sociais,
Estudos Literarios,
Estudos Lingüisticos (Sjrp),
Estudos Linguisticos E Literarios Em Ingles,
Estudos Lingüisticos,
Estudos De Linguagem, Engenharia Civil, Psicologia,
Estudos Da Linguagem,
Estudos Comparados Sobre As Americas,
Estruturas E Construcao Civil,
Estomatopatologia,
Estetica E História Da Arte, História,
Estetica E História Da Arte,
Estatistica E Metodos Quantitativos,
Estatistica,
Epidemiologia Experimental Aplicada A Zoonoses,
Epidemiologia,
Entomologia (Rib. Preto),
Entomologia (Esalq),
Entomologia E Conservacao Da Biodiversidade,
Entomologia,
Ensino, Filosofia E História Das Ciencias,
Ensino Em Ciencias Da Saude, Reabilitacao,
Ensino Em Biociencias E Saude, Educacao,
Ensino E História De Ciencias Da Terra,
Ensino De Fisica,
Ensino De Ciencias Naturais E Matematica,
Ensino De Ciencias E Matematica,
Ensino De Ciencias, Administracao E Desenvolvimento Rural,
Ensino De Ciencia E Educacao Matematica,
Ensino Das Ciencias,
Ensino Ciencias (Modalidade Fisica E Quimica),
Engenharia Urbana (J.Pessoa),
Engenharia Urbana,
Engenharia Sanitaria,
Engenharia Quimica (C. Grande),
Engenharia Quimica,
Engenharia (Pesq. Operac. E Gerenc. De Producao),
Engenharia Oceanica,
Engenharia Nuclear,
Engenharia Naval,
Engenharia Mineral,
Engenharia Metalurgica (Sp-Capital),
Engenharia Metalurgica (S. Carlos),
Engenharia Metalurgica E De Minas,
Engenharia Metalurgica E De Materiais,
Engenharia Metalurgica,
Engenharia Mecanica (Sp-Capital),
Engenharia Mecanica (S. Carlos),
Engenharia Mecanica (J. Pessoa),
Engenharia Mecanica (Ilha Solteira),
Engenharia Mecanica (Guaratingueta),
Engenharia Mecanica E De Materiais,
Engenharia Mecanica (C. Grande),
Engenharia Mecanica,
Engenharia Hidraulica E Saneamento (S.Carlos),
Engenharia Florestal,
Engenharia E Tecnologia Espaciais,
Engenharia (Engenharia De Producao),
Engenharia: Energia, Ambiente E Materiais,
Engenharia Eletrônica E Computacao,
Engenharia Eletrica (Sp-Capital),
Engenharia Eletrica (S. Carlos),
Engenharia Eletrica (Ilha Solteira),
Engenharia Eletrica E Informatica Industrial,
Engenharia Eletrica E De Computacao,
Engenharia Eletrica, Astronomia, Ciencias Medicas,
Engenharia Eletrica,
Engenharia E Ciencia Dos Materiais,
Engenharia E Ciencia De Materiais,
Engenharia E Ciencia De Alimentos (Sjrp),
Engenharia E Ciencia De Alimentos,
Engenharia De Transportes (Sp-Capital),
Engenharia De Transportes (S.Carlos),
Engenharia De Transportes,
Engenharia De Sistemas Logisticos,
Engenharia De Sistemas E Computacao,
Engenharia De Reservatório E De Exploracao,
Engenharia De Reservatorio E De Exploracao,
Engenharia De Recursos Hidricos E Ambiental,
Engenharia De Producao, Mestrado Em Odontologia,
Engenharia De Producao E Sistemas,
Engenharia De Producao,
Engenharia De Processos,
Engenharia De Petróleo,
Engenharia De Pesca,
Engenharia De Minas, Metalurgica E De Materiais,
Engenharia De Minas,
Engenharia De Materiais,
Engenharia De Infra-Estrutura Aeronautica,
Engenharia De Estruturas,
Engenharia De Energia,
Engenharia De Eletricidade,
Engenharia De Edificacoes E Saneamento,
Engenharia De Computacao,
Engenharia De Barragens,
Engenharia De Alimentos,
Engenharia Civil (Sp-Capital),
Engenharia Civil (Recursos Hidricos),
Engenharia Civil (Estruturas),
Engenharia Civil (Engenharia De Estruturas) (S. Carlos),
Engenharia Civil (C. Grande),
Engenharia Civil,
Engenharia Biomedica,
Engenharia Automotiva (Profissionalizante),
Engenharia Ambiental Urbana,
Engenharia Ambiental,
Engenharia Agricola,
Engenharia Aeronautica E Mecanica,
Engenharia,
Enfermagem Psiquiatrica (Rib. Preto),
Enfermagem Na Saude Do Adulto,
Enfermagem, Mestrado Em Educacao Fisica, Gestao Urbana,
Enfermagem (Interunidades),
Enfermagem Fundamental (Rib. Preto),
Enfermagem Em Saude Publica (Rib. Preto),
Enfermagem,
Endodontia,
Endocrinologia,
Educacao (Psicologia Da Educacao),
Educacao Para A Ciencia -Unesp-Bauru,
Educacao Nas Ciencias,
Educacao, Medicina Veterinaria, Filosofia,
Educacao Matematica (Rio Claro),
Educacao Matematica,
Educacao (Marilia),
Educacao-Formacao De Professores,
Educacao Fisica, Odontologia, Ciencias
Educacao Fisica, Ciencias Da Reabilitacao,
Educacao Fisica,
Educacao Especial (Educ. Do Individuo Especial),
Educacao Escolar (Araraquara),
Educacao Em Saude,
Educacao Em Ciencias E Matematicas,
Educacao E Contemporaneidade,
Educacao De Ciencias E Matematica,
Educacao (Curriculo),
Educacao Cientifica E Tecnológica,
Educacao Ambiental,
Educacao, Administracao E Comunicacao, Fisica E Astronomia,
Educacao,
Educacao,
Eduacao,Arte E Historia Da Cultura,
Economia -Unesp Araraquara,
Economia Social E Do Trabalho,
Economia Rural (C. Grande),
Economia Rural,
Economia (J. Pessoa),
Economia Empresarial,
Economia Domestica,
Economia De Empresas,
Economia Da Saude,
Economia Da Industria E Da Tecnologia,
Economia Aplicada,
Econômia,
Economia,
Ecologia E Recursos Naturais,
Ecologia E Manejo De Recursos Naturais,
Ecologia E Evolucao, Ciencias Medicas,
Ecologia E Conservacao De Recursos Naturais,
Ecologia E Conservacao Da Biodiversidade,
Ecologia E Conservacao,
Ecologia E Biomonitoramento,
Ecologia De Ambientes Aquaticos Continentais,
Ecologia De Agroecossistemas,
Ecologia (Conservacao E Manejo Da Vida Silvestre),
Ecologia,
Doencas Tropicais E Infecciosas,
Doencas Tropicais (Botucatu),
Doencas Infecciosas E Parasitarias,
Doencas Infecciosas,
Diversidade Vegetal: Conhecer E Conservar, Administracao,
Disturbios Do Desenvolvimento,
Disturbios Da Comunicacao Humana (Fonoaudiologia),
Disturbios Da Comunicacao Humana,
Disturbios Da Comunicacao,
Direito Tributario E Empresarial,
Direitos Das Obrigacoes,
Direito Processual E Cidadania,
Direito Politico E Econômico,
Direito Negocial,
Direito (Direito Publico),
Direito (Direito E Desenvolvimento),
Direito Das Relacoes Internacionais, Odontologia,
Direito Constitucional,
Direito Agrario,
Direito,
Diplomacia,
Diagnóstico Genetico Muscular, Direito,
Design, Administracao, Engenharia Civil,
Design,
Desenvolvimento Urbano,
Desenvolvimento Sustentavel Do Trópico umido,
Desenvolvimento Sustentavel,
Desenvolvimento Rural,
Desenvolvimento Regional E Meio Ambiente,
Desenvolvimento Regional E Agronegócios,
Desenvolvimento Regional,
Desenvolvimento Local,
Desenvolvimento, Gestao E Cidadania,
Desenvolvimento E Meio Ambiente,
Desenvolvimento Econômico, Espaco E Meio Ambiente,
Desenvolvimento Econômico,
Desenvolvimento, Agricultura E Sociedade,
Desenho Industrial (Bauru),
Demografia,
Cultura Visual,
Cultura & Turismo - Parceria Uesc/Ufba,
Controladoria E Contabilidade Estrategica,
Controladoria E Contabilidade,
Contabilidade, Administracao,
Construcao Civil,
Comunicacao Social,
Comunicacao, Imagem E Informacao,
Comunicacao E Semiótica,
Comunicacao E Mercado,
Comunicacao E Linguagens,
Comunicacao E Informacao,
Comunicacao E Cultura Contemporanea,
Comunicacao,
Computacao Aplicada E Automacao,
Computacao Aplicada,
Cognicao E Linguagem,
Clinica Veterinaria,
Clinicas Odontológicas,
Clinica Odontológica (Piracicaba),
Clinica Odontológica,
Clinica Medica,
 Clinica Medica,
Cirurgia Veterinaria (Jaboticabal),
Cirurgia Plastica Reparadora,
Cirurgia Plastica,
Cirurgia Pediatrica,
Cirurgia E Experimentacao,
Cirurgia (Botucatu),
Cirurgia,
Ciencias Veterinarias, Filosofia,
Ciencias Veterinarias,
Ciencias Tecnicas Nucleares,
Ciencias Sociais Aplicadas,
Ciencias Sociais,
Ciencia Social (Antropologia Social),
Ciencias Naturais, Bioinformatica, Cirurgia,
Ciencias Morfológicas,
Ciencias (Microbiologia),
Ciencias (Medicina Legal),
Ciencias Medicas,
Ciencias Mecanicas, Ciencias Da Computacao,
Ciencias Matematica (Sjrp),
Ciencias Marinhas Tropicais,
Ciencias Juridicas,
Ciencias Humanas,
Ciencias Geodesicas E Tecnologias Da Geoinformacao,
Ciencias Geodesicas,
Ciencias Genômicas E Biotecnologia,
Ciencias Florestais (Esalq),
Ciencias Florestais,
Ciencias (Fisiopatologia Experimental),
Ciencias Fisiológicas- Fisiologia Animal Comparada,
Ciencias Fisiológicas,
Ciencias (Fisiologia Humana),
Ciencias (Fisiologia Geral),
Ciencias Farmaceuticas (Rib. Preto),
Ciencias Farmaceuticas, Producao Vegetal, Fisioterapia,
Ciencias Farmaceuticas: Insumos E Medicamentos,
Ciencias Farmaceuticas (Araraquara),
Ciencias Farmaceuticas,
Ciencias E Praticas Educativas,
Ciencias (Energia Nuclear Na Agricultura) (Cena),
Ciencias E Engenharia De Petróleo,
Ciencias Econômicas,
Ciencias (Economia Aplicada) (Esalq),
Ciencias Do Solo,
Ciencias Dos Materiais,
Ciencias Do Movimento Humano,
Ciencias Do Mar,
Ciencias Do Ambiente E Sustentabilidade Na Amazônia,
Ciencias De Florestas Tropicais,
Ciencias Da Saude, Zootecnia, Educacao/Rc,
Ciencias Da Saude, Odontologia Preventiva E Social,
Ciencias Da Saude (Cardiologia),
Ciencias Da Saude,
 Ciencias Da Saude,
Ciencias Da Religiao,
Ciencias Da Reabilitacao Neuro-Motora,
Ciencias Da Reabilitacao,
Ciencias Da Motricidade (Rio Claro),
Ciencias Da Linguagem, Materiais,
Ciencias Da Engenharia Ambiental (S.Carlos),
Ciencias Da Comunicacao,
Ciencias Da Computacao,
Ciencias Criminais,
Ciencias Contabeis E Atuariais,
Ciencias Contabeis,
Ciencias Cartograficas (P. Prudente),
Ciencias (Bioquimica),
Ciencias Biológicas (Zoologia) (Rio Claro),
Ciencias Biológicas (Zoologia) (Botucatu),
Ciencias Biológicas (Zoologia),
Ciencias Biologicas (Zoologia),
Ciencias Biológicas (Neurociencias),
Ciencias Biológicas (Morfologia),
Ciencias Biológicas (Microbiologia Aplicada) (Rio Claro),
Ciencias Biológicas (Microbiologia),
Ciencias Biológicas (Genetica) (Sjrp),
Ciencias Biológicas (Genetica) (Rib. Preto),
Ciencias Biológicas (Genetica) (Botucatu),
Ciencias Biológicas (Genetica),
Ciencias Biológicas (Fisiologia E Farmacologia),
Ciencias Biológicas (Fisiologia),
Ciencias Biológicas (Farmacologia) (Rib. Preto),
Ciencias Biológicas (Farmacologia) (Botucatu),
Ciencias Biológicas: Farmacologia Bioquimica Molecular,
Ciencias Biológicas (Farmac. E Terap. Experimental),
Ciencias Biológicas (Entomologia),
Ciencias Biológicas (Doencas Parasitarias),
Ciencias Biológicas (Botanica) (Botucatu),
Ciencias Biológicas (Botanica),
Ciencias Biológicas (Bioquimica Toxicológica),
Ciencias Biológicas (Bioquimica),
Ciencias Biológicas (Biologia Vegetal) (Rio Claro),
